,prod_id,images,string
12,5f7dc1f7fc80aa7a36f888b4,"['e7cc24ab101a98f888c2blob', '8cb5069eded807ee1237blob', 'b6ce7627b372c5811219blob', 'fb3aa475fb2dda7d012ablob', '8ec97efe02bd36ea4363blob', 'b8185b99bf4b4a5b6097blob', '032c328ee44ff8214f4eblob', '9c6a1bdf908a38f385ceblob', '19055a5d9103a0d9e9edblob', None, None, None]","talbots womens beige mid rise cargo shorts size 6
talbots womens beige mid rise cargo shorts size 6"
13,5f7ddac5fc80aa7a36f88944,"['18bc8d4c85323ac9a34cblob', 'e32eca4c86ac32a81ed0blob', '7be784730982e1a4083bblob', '117f5d4e230302a6f13cblob', 'b630307a9486bcdd4292blob', '6b2290ba0dfa0e7b03ebblob', '3f0f1df68fc34ec09806blob', 'c16637ed4df25ae5c74eblob', 'b4293890249475f7e705blob', '8551c18ca1c49e5237eeblob', None, None]","gap womens pink mid rise khakis boyfriend roll up regular shorts size 2 
gap womens pink mid rise khakis boyfriend roll up regular shorts size 2 "
14,5f80f6c5fc80aa7a36f88fed,"['98502ea173fa3638a2a7blob', '25069e429eb4eeae3de5blob', 'ee33fab2d734da034e31blob', '259defbad5a8dea81567blob', '605c4629ad3df0ca7453blob', '054bf5387f18c5afa017blob', '94ed44eec41d50274df2blob', 'd75d735116335e33d370blob', '54291e4b26b6f1292a9fblob', None, None, None]","quizz new york womens blue denim cargo shorts size 16
quizz new york womens blue denim cargo shorts size 16"
15,5fab5368764dee77c7d427c7,"['3953e472c513d9995431blob', '6f8b0668bbaa8d2cc51fblob', '9ad7bdf0f534a42748c4blob', '385a8ebfc0bd774ad6d6blob', '4048656ab74a76892675blob', 'f8db1a5898a72c49b67fblob', '21127be39bd3aae0af15blob', 'e47b2d8f53b52cafcac9blob', 'b5b74210b6bc1828b264blob', '61d73df11df821550d14blob', None, None]","h&m womens blue high rise shorts fit button fly straight denim capri size 34
h&m womens blue high rise shorts fit button fly straight denim capri size 34"
16,5f918609a6d55065aba2fdb1,"['295b311db59a1ce97b3fblob', 'ec9076e6cd0c6ddc159ablob', 'bff333784d2135c70cccblob', '79b4609abb399b68ead7blob', 'cfb16b2c862a1dfba906blob', '2c63b81b09311f5e7a66blob', '14255859dad2616dc432blob', '3f6000f1a42f2334ff06blob', 'dffddea74ea1395e3c27blob', None, None, None]","womenseptangle womens swim sports board shorts swimwear blue black tankini size 18
brand: septangle
category: women
septangle womens swim sports board shorts swimwear blue black tankini size 18"
17,5fa462aae073e32f0eb34156,"['8cd625cbf140e32eeb23blob', '9cf2187dc8190355e24cblob', '560b193929c642d1d09ablob', 'f3b62d50a12c7f9c6c75blob', None, None, None, None, None, None, None, None]","womenone x oneteaspoon womens denim cropped distressed shorts white size 25
brand: one x oneteaspoon
model: distressed shorts size 25
category: women
one x oneteaspoon womens denim cropped distressed shorts white size 25"
18,5fa5a29e8c1f5a3e84f1cc4f,"['d5b9d714d001b6567553blob', '0f0464b970c8415f8e17blob', 'e406a7d11da05b68fa26blob', '07ea4d804f6a93b6d5ffblob', '32940846db7e74c43878blob', 'b09cd27dbdda3bb5fcd3blob', '07dcc773b61b96138cdbblob', '41983c40019389e1772dblob', 'e4e2b8cc2efa6a6ae183blob', None, None, None]","womenbrand: lilly pulitzer
model: multicolored size 12 shorts, the callahan short
category: women
"
19,5fa5a4da8c1f5a3e84f1cc57,"['29001943007a3469fc51blob', 'cdce07283d84f5974980blob', 'ea70431db97f152eebd8blob', '9657fec5be3d589e70c5blob', 'd777bcadc631a6f6791fblob', '86820a91f53b757cfdadblob', '12f0ba0e8be1c1a5bd05blob', '4871d75f9384cf2865f0blob', '1d6a8796b862cb73617eblob', None, None, None]","womenbrand: athleta
model: off white size small, draw string shorts 
category: women
"
20,5fa958d1cac2890608cfaf19,"['db8b1fbd697a1d58eeb5blob', '3c4dd93b60b4505d9ee6blob', '922745381fba2a1136b0blob', '207609e7f0eace22c8dbblob', 'bcb32792d9434efed57cblob', 'c06ac17a97399a2e2b2eblob', 'e244143433d150327412blob', '33a57d9a6140dbb0ec6cblob', None, None, None, None]","womenbrand: madewell
model: dark aqua, size 27 shorts
category: women
"
21,5fa95b17cac2890608cfaf20,"['fc2e67254f7779d49e1dblob', 'ecb03a75107a15f76f8cblob', '0c1b0e99b89caa5a6adablob', '24ed20d7115f246ca40eblob', 'd0ccf0cdea6bd6404e4ablob', '6ba46bfb6bc4f7797644blob', '1fa7b1833f57d7422494blob', '6a0ca15f3187c5b416beblob', None, None, None, None]","womenbrand: tommy hilfiger 
model: floral, multicolor shorts, size 8
category: women
"
