,prod_id,images,string
13,5f6fd5a17b02bf7617bfbe97,"['40435c6d51e0e41c7da7blob', '9b057afda1b4dde7581fblob', 'eee3d0df21ec04c16b7ablob', '808afda15bc4679efb79blob', '89fd9b2c75bde9953cd3blob', '4351fe7f4352aec1aa74blob', 'dc81bfeb3eb336ffaca7blob', '4f6f57090d57d520b217blob', None, None, None, None]","dockers womens black mid rise curvy designer dress pants size 10 medium
brand: dockers
category: women
dockers womens black mid rise curvy designer dress pants size 10 mediumwomen"
14,5f6fd6a77b02bf7617bfbe9f,"['94b0eeffad7339f77ca3blob', '98110f53241422e92e4dblob', '0bf8b71537cdee689a3eblob', '3296b9370b584b1351fdblob', 'af386ac34ce8ef44a535blob', '0523d0845ca78990e725blob', '2067e5033cef62020ce5blob', 'c57717ae73fd4f41e3c1blob', '5a85173b8d054a97304fblob', None, None, None]","old navy womens black red high rise plaid thermal sleep legging pants large 
brand: old navy
category: women
old navy womens black red high rise plaid thermal sleep legging pants large women"
15,5f6fd71b7b02bf7617bfbea1,"['e174847e5616f0b4a795blob', 'd3a25133c754c53d19afblob', '1186b2a017329d057608blob', '091b9a5e8a1349acc73cblob', '1305c1742d3e291375cbblob', '35971e338173b4d08af9blob', 'aa8ef1cf0917f0327b8eblob', '492eed9fadbd73bad327blob', '89f596e1090ce52bd3e5blob', 'ad39033eea506b3a1328blob', None, None]","cato womens beige contemporary slim fit slip on stretch pants size 18/20w
brand: cato
category: women
cato womens beige contemporary slim fit slip on stretch pants size 18/20wwomen"
16,5f6fd9337b02bf7617bfbeaf,"['c2b3a4372417c9b5e820blob', 'c2dc1cfa98acf9960796blob', 'e7f65683125728a5a44bblob', '9f4a3525b00b1884de70blob', 'a82f5ce72b9a62b736a2blob', '405103178f90f7d26360blob', 'b07f5905c9174676d918blob', 'b6723fb3667b2bd5268bblob', None, None, None, None]","bill blass womens gray tapered leg velour stretch casual pants size 12
brand: bill blass
category: women
bill blass womens gray tapered leg velour stretch casual pants size 12women"
17,5f6fd9737b02bf7617bfbeb1,"['e6a0f0f4c6f538ccd2d8blob', 'c3ad5663ceb2b3b63191blob', '48c764d05b33676f904dblob', 'e6a30d2237ba363941a7blob', '8bba44b34aaec81ba530blob', 'b22ca4a92dfc4f12edcablob', '55fb7664286ae004e532blob', '11d087b5f94e7814055fblob', None, None, None, None]","apt 9 womens black white stretch flat front straight leg pants size 8r
brand: apt.9
category: women
apt 9 womens black white stretch flat front straight leg pants size 8rwomen"
18,5f6fd9b87b02bf7617bfbeb3,"['4e19ec0d50eb9ff4a9dfblob', '3f4b3ca9ea3f53db91d9blob', '8176b1cc1769a72a6487blob', 'fe0def1cd3ba26307b4bblob', '8b235abd699b80b79ba2blob', '8e83aed9b5cf1899e6e3blob', '2346f98e4ddeb72c4590blob', '2fa0f8b5879b75773313blob', '1ddadaec0620127309ffblob', '8f306dfa08906bfad1c5blob', None, None]","izod womens purple flat front straight leg corduroy pants size 16 petites
brand: izod
category: women
color: black
izod womens purple flat front straight leg corduroy pants size 16 petiteswomen"
19,5f6fdaa97b02bf7617bfbeb9,"['2d3c3d63adbcd5587bb5blob', '7034500451b16b4c9da0blob', '302f721043799d053004blob', '9b9235c531c7ce704257blob', '0745e7fda035fc2e9638blob', 'c94a5ee4fe54435af6e4blob', '53f83d2674dcf7056c17blob', '1f6e555dd8ccfb79e7e1blob', '53b1c13cd1620c7373ccblob', None, None, None]","talbots womens purple stretch mid rise straight leg capri pants size 6 petites 
brand: talbots
category: women
talbots womens purple stretch mid rise straight leg capri pants size 6 petites women"
20,5f70bf4e6fc48367fff09fd6,"['26904676094b7c4396bablob', 'a0fecfa063af9b86b216blob', '9d593bc40900ada49487blob', 'e407d90f44ca367a531eblob', '4e4d4156bc8570e6917fblob', '6ef63dac5eb4041cbd1ablob', '2d0c951aa7dacff3cd9bblob', 'c7c36aaceedc7ee29c32blob', None, None, None, None]","merona womens blue high rise chambray wide leg cropped pants size 8 
brand: merona
category: women
merona womens blue high rise chambray wide leg cropped pants size 8 women"
21,5f73c589fc5d1b0a3bae960a,"['589cbe804cb5ea217f4bblob', '0205a21911b1cd9c640cblob', '2c54a8b592157f51d2b7blob', 'fdffab4891870fe7280eblob', '8eaba0c519bd9640787dblob', '9eed1aaa21b829cec7f3blob', 'aca5d788528f2612793dblob', 'b14217ea87330582cc17blob', 'aca6bd23d0a332edf6f7blob', None, None, None]","roz & ali womens beige the smart fit straight leg slip on dress pants size 18w
roz & ali womens beige the smart fit straight leg slip on dress pants size 18w"
22,5f750036fc5d1b0a3bae98db,"['1b8a5c0b84d535319c2fblob', '49b94121db56654c43f2blob', 'bae51702c8fb1ada7d2fblob', '1cdde29d598eb2acf953blob', '5225d709742d8bb78fa9blob', '0686de87d0d6a605aa33blob', '4e8a65c1a939b29bed40blob', '308316ca56abaf6313a6blob', None, None, None, None]","rafaella womens brown corduroy mid rise straight leg flat front pants size 10
rafaella womens brown corduroy mid rise straight leg flat front pants size 10"
